Rank	School	AIS	STC	AC/VV	SLSDC	DS	APIIT	RI	SJC	RC	SBC	LC	AC	BC	DRCK	TCK		Total
Category		M	M															
1	Royal College, Colombo	4	8	8	8	8	8	4	4	2	6	6	2	8	4	6		86
2	D. S. Senanayake College, Colombo	6	2		6	4	1	2	2	8	2	4	8	2	4	2		53
3	Trinity College, Kandy	2	4		1	6	4	4	4	6	2	2	4	4	2	2		47
4	Ladies' College, Colombo	2	1	2	2	2	2	6	8	2	1	4	6		2	4		44
5	Asian International School	4	6	4	4	2	1	2			4	2	4	6	1	2		42
6	Colombo International School	4	1		1	1	2		2	4	8	8	2	4		4		41
7	St Bridget's Convent, Colombo		2	2	2	2	1	2	6	4	4	1	2	2	1			31
8	Visakha Vidyalaya, Colombo			1	1	1	1			2	1	4			6	8		25
9	Elizabeth Moir School, Colombo	8		4	1		6			2	1		2					24
10	Bishop's College, Colombo		2		1	1	1	8		2	2		1	2	1			21
11	St. Thomas' College, Mount Lavinia	2	4		1		1		2		4	1		2	2			19
12	Hillwood College Kandy	1	2	2	2	2	2				1	2	1		1	2		18
13	Gateway College, Dehiwala		1	2	4	1	4				1	1						14
14	Ananda College, Colombo			1								2	4		1			8
15	Methodist College, Colombo			6														6
15	Dharmaraja College Kandy														6			6
17	St. Joseph's College Colombo 10								4									4
18	British School, Colombo										2		1					3
19	Musaeus College, Colombo 7	1																1
19	Stafford International School	1																1
21	Lyceum International School, Wattala																	0
21	Wycherly International School																	0
21	Sanghamiththa Balika Vidyalaya Galle																	0
21	Anula Vidyalaya, Nugegoda																	0
21	De Mazenod College																	0
21	Devi Balika Vidyalaya, Colombo																	0
21	Gateway College, Kandy																	0
21	Good Shepherd Convent Kandy																	0
21	Highlands College Maharagama																	0
21	Hindu College, Jaffna																	0
21	Holy Family Convent, Colombo																	0
21	Kandy Girls' High School																	0
21	Kurunegala Maliyadeva Balika Vidyalaya																	0
21	Lyceum International School, Gampaha																	0
21	Lyceum International School, Nugegoda																	0
21	Mahamaya Girls College Kandy																	0
21	Rahula College, Matara																	0
21	RIC Kurunegala																	0
21	Wesley College, Colombo																	0
